正常蓄水位_m,计算部分,项目,数值,单位,计算说明
100.0,装机与电能,必须容量,66.313,万kW,动态必须容量
100.0,装机与电能,重复容量,18.639477064005362,万kW,确认定线成果
100.0,装机与电能,装机容量,84.95247706400536,万kW,必须容量+重复容量
100.0,装机与电能,多年平均电能,38.91763433888137,亿kWh,确认重复容量下精确DP
100.0,装机与电能,系统有效电能,38.91763433888137,亿kWh,扣除上游影响
100.0,水电投资,坝顶高程,114.2776238144966,m,动态坝顶成果
100.0,水电投资,最大坝高,84.2776238144966,m,坝顶高程-坝底高程
100.0,水电投资,永久性建筑物投资,42073.94509642881,万元,默认参数文件插值
100.0,水电投资,机电设备投资,15207.33168186627,万元,默认参数文件插值
100.0,水电投资,其他投资,56028.0,万元,按正常蓄水位插值
100.0,水电投资,水电工程投资合计,113309.27677829508,万元,永久建筑+机电+其他
100.0,水库补偿,水库补偿投资,24989.0,万元,按正常蓄水位插值
100.0,替代火电,替代容量,0.0,万kW,相对最高正常蓄水位基准方案
100.0,替代火电,替代电能,0.0,亿kWh,相对最高正常蓄水位基准方案
100.0,替代火电,火电站投资,0.0,万元,默认单位造价
100.0,替代火电,煤矿额外投资,0.0,万元,默认单位造价
100.0,运行费,水电正常年运行费,1275.6933968397288,万元/年,运行费+大修费+补偿提成
100.0,运行费,火电正常年运行费,0.0,万元/年,火电投资比例
100.0,运行费,火电正常燃料费,0.0,万元/年,替代电能单位燃料费
100.0,防洪效益,防洪库容,6.563838330616003,亿m³,动态调洪成果
100.0,防洪效益,多年平均减少拦洪量,6.698658737518454,亿m³,频率线面积
100.0,防洪效益,防洪年效益,12582.88169087089,万元/年,默认效益参数
100.0,折算年费用,施工期末折算总值,214391.5566437958,万元,折算到第11年末
100.0,折算年费用,资本年费用,21623.35532555519,万元/年,火电25年，其余按大坝寿命
100.0,折算年费用,正常运行期年费用,-11307.188294031163,万元/年,运行费+燃料费-防洪效益
100.0,折算年费用,总年费用,10316.167031524026,万元/年,资本年费用+正常运行期年费用
