正常蓄水位_m,计算部分,项目,数值,单位,计算说明
108.0,装机与电能,必须容量,91.4353,万kW,动态必须容量
108.0,装机与电能,重复容量,0.0,万kW,确认定线成果
108.0,装机与电能,装机容量,91.4353,万kW,必须容量+重复容量
108.0,装机与电能,多年平均电能,46.698483279448936,亿kWh,确认重复容量下精确DP
108.0,装机与电能,系统有效电能,46.698483279448936,亿kWh,扣除上游影响
108.0,水电投资,坝顶高程,124.19704012768372,m,动态坝顶成果
108.0,水电投资,最大坝高,94.19704012768372,m,坝顶高程-坝底高程
108.0,水电投资,永久性建筑物投资,56246.11212631271,万元,默认参数文件插值
108.0,水电投资,机电设备投资,17951.00641111111,万元,默认参数文件插值
108.0,水电投资,其他投资,62854.0,万元,按正常蓄水位插值
108.0,水电投资,水电工程投资合计,137051.11853742384,万元,永久建筑+机电+其他
108.0,水库补偿,水库补偿投资,38547.0,万元,按正常蓄水位插值
108.0,替代火电,替代容量,0.0,万kW,相对最高正常蓄水位基准方案
108.0,替代火电,替代电能,0.0,亿kWh,相对最高正常蓄水位基准方案
108.0,替代火电,火电站投资,0.0,万元,默认单位造价
108.0,替代火电,煤矿额外投资,0.0,万元,默认单位造价
108.0,运行费,水电正常年运行费,1537.8555401132476,万元/年,运行费+大修费+补偿提成
108.0,运行费,火电正常年运行费,0.0,万元/年,火电投资比例
108.0,运行费,火电正常燃料费,0.0,万元/年,替代电能单位燃料费
108.0,防洪效益,防洪库容,7.663794048524096,亿m³,动态调洪成果
108.0,防洪效益,多年平均减少拦洪量,6.753656523413858,亿m³,频率线面积
108.0,防洪效益,防洪年效益,12645.139184504487,万元/年,默认效益参数
108.0,折算年费用,施工期末折算总值,271082.6784788475,万元,折算到第11年末
108.0,折算年费用,资本年费用,27341.175049586458,万元/年,火电25年，其余按大坝寿命
108.0,折算年费用,正常运行期年费用,-11107.28364439124,万元/年,运行费+燃料费-防洪效益
108.0,折算年费用,总年费用,16233.891405195218,万元/年,资本年费用+正常运行期年费用
